created_at,approval_status,custom_source,Which of the following best describes your background? ,Which part of AI interests you most?,Pls specify area of interest (if selected other),Are you interested in contributing to the GenAI collective community?,What will you help you best with your AI project or startup ideas? (Helps us plan better programming for you!),Is it ok to share your contact for networking? This is a networking event after all :)
2025-02-28T15:44:51.145Z,approved,substack,Student,HealthCare,,,,Yes
2025-02-28T21:22:20.353Z,approved,,"Founder, Engineer","Finance, Business, Startups",,,,Yes
2025-02-25T02:50:30.945Z,approved,tks,Student,"Startups, Business",,,Eager to learn more about AI in search for mentorship’s and opportunities.,Yes
2025-02-28T12:29:36.687Z,approved,plink,General,"Startups, Business",automation,"Speaking at future meetups, Writing blogs/articles on AI, Sponsoring or partnering",hands on workshops,Yes
2025-02-23T21:36:24.548Z,approved,popin,Student,"Design, Startups",,Volunteering at events,"Networking, and understand what's possible for ai integration for my project ",Yes
2025-02-24T15:21:03.240Z,approved,popin,Operator/Service provider,Startups,,Volunteering at events,"Use of AI with IoT, Cameras and/or Drones",Yes
2025-03-04T01:03:36.374Z,approved,,Student,"HealthCare, Education, Research",,,introductory level ,Yes
2025-02-26T15:45:40.644Z,approved,,"Founder, Engineer","Business, Startups, Education, Finance",,"Volunteering at events, Speaking at future meetups, Chapter Leadership",Tips on how to stay up date and demos,Yes
2025-03-04T03:58:07.040Z,approved,,General,"Design, Startups",,"Volunteering at events, Helping with social media & content",,Yes
2025-03-03T00:49:49.499Z,approved,,"Founder, Student","Business, Startups, Design",,Volunteering at events,,Yes
2025-02-24T02:41:17.981Z,approved,vector,"Researcher, Engineer, Student",Business,,,,Yes
2025-03-03T14:18:31.719Z,approved,,Operator/Service provider,Startups,Financial Strategy + Tax Credits + Grants ,,Networking time,Yes
2025-02-28T01:21:37.623Z,approved,,"Researcher, Student, Engineer","Startups, Research, HealthCare, Business, Finance",,"Volunteering at events, Writing blogs/articles on AI, Speaking at future meetups",including industry leaders and business managers in events,Yes
2025-02-24T02:42:17.442Z,approved,,"Engineer, Student","Startups, Business, Research",,Volunteering at events,"Hands-on workshops, Hackaton, Useful lectures and presentation",Yes
2025-02-28T01:08:51.714Z,approved,,Founder,Business,,Speaking at future meetups,,Yes
2025-03-04T05:28:57.971Z,approved,substack,Founder,"Startups, Business",,,,Yes
2025-02-20T20:43:37.334Z,approved,,student,HealthCare,,Chapter Leadership,,
2025-03-01T18:55:20.525Z,approved,popin,General,"HealthCare, Education, Ethics",,"Writing blogs/articles on AI, Helping with social media & content, Volunteering at events",,Yes
2025-03-03T16:05:21.149Z,approved,,General,"Startups, Education, Business",,"Volunteering at events, Writing blogs/articles on AI",,Yes
2025-03-03T16:15:25.234Z,approved,popin,"General, Engineer","Business, Education, Design",,Chapter Leadership,,Yes
2025-02-21T19:17:03.365Z,approved,,Student,Design,,,,
2025-02-27T23:05:11.445Z,approved,plink,Founder,Business,,"Chapter Leadership, Volunteering at events, Helping with social media & content",,Yes
2025-02-28T19:34:17.815Z,approved,,"Researcher, Engineer",HealthCare,,,,Yes
2025-02-24T16:27:49.419Z,approved,,General,Business,,Sponsoring or partnering,,Yes
2025-02-24T16:23:50.230Z,approved,substack,General,"Finance, Business, HealthCare, Startups",,"Sponsoring or partnering, Speaking at future meetups","Start an AI powered consulting business. AI agent that can automate workflow and generate leads, follow up on emails, follow up with clients. Solutioning.",Yes
2025-03-03T01:55:15.369Z,approved,,General,Business,"Fraud, Risk, AML",,,Yes
2025-02-25T14:59:44.029Z,approved,,Operator/Service provider,"Startups, Education",,"Writing blogs/articles on AI, Speaking at future meetups, Helping with social media & content",,Yes
2025-02-23T19:21:10.513Z,approved,,"Founder, Student","Startups, Business",,Speaking at future meetups,"Networking, mentorship, and opportunities.",Yes
2025-03-03T16:14:11.395Z,approved,,Student,"HealthCare, Design, Education",,"Chapter Leadership, Volunteering at events","Having the following in my team: Machine learning and data science experts, Researchers especially in biomedical research involving drug design",Yes
2025-02-28T03:20:54.469Z,approved,plink,"General, Founder","Design, Research, Startups",,"Volunteering at events, Speaking at future meetups, Writing blogs/articles on AI, Helping with social media & content","Toolkits, New tools and how people leverage it, stories of success, design ",Yes
2025-03-03T13:15:45.673Z,approved,,Founder,"Finance, Startups",,Chapter Leadership,"More intimate discussions, fireside chats & hands-on workshops",Yes
2025-02-25T21:57:27.186Z,approved,,Media,Business,,,,Yes
2025-02-22T19:03:03.756Z,approved,popin,Founder,"Startups, Business, Education",,"Chapter Leadership, Speaking at future meetups",I can help other starting out with Gen AI,Yes
2025-02-26T21:13:57.138Z,approved,,Investor,Startups,,,,Yes
2025-02-27T20:24:21.364Z,approved,,Student,"Finance, Business, HealthCare",,"Writing blogs/articles on AI, Volunteering at events",,Yes
2025-02-25T16:06:38.567Z,approved,,Founder,Business,,Speaking at future meetups,,Yes
2025-02-26T17:25:20.848Z,approved,popin,Engineer,"Startups, HealthCare, Business, CyberSecurity",,"Writing blogs/articles on AI, Speaking at future meetups",,Yes
2025-02-24T16:28:19.589Z,approved,vector,"Engineer, Student, Researcher",Startups,,Sponsoring or partnering,,Yes
2025-03-01T18:52:39.245Z,approved,,General,"Business, Education, CyberSecurity, Ethics",,"Chapter Leadership, Volunteering at events, Speaking at future meetups",,Yes
2025-02-28T01:22:42.044Z,approved,plink,Founder,Startups,,,,Yes
2025-02-28T15:15:25.187Z,approved,,"Student, Engineer, Researcher",HealthCare,,"Writing blogs/articles on AI, Volunteering at events",,Yes
2025-02-28T22:15:33.239Z,approved,,Engineer,"Education, Design",,,,Yes
2025-02-24T18:08:27.802Z,approved,,Founder,"Business, Startups, Education",,,Looking for a marketing role in AI,Yes
2025-03-02T21:51:03.867Z,approved,,Engineer,Startups,,,,Yes
2025-03-03T20:08:48.471Z,approved,,General,"Startups, Business",,"Volunteering at events, Writing blogs/articles on AI",Startup ideas,Yes
2025-03-04T03:06:08.203Z,approved,,"Founder, Engineer","Finance, Design, Other(pls specify)",Legal,,Tips on building opensource GenAI project,Yes
2025-02-25T15:36:55.139Z,approved,substack,Founder,"Startups, Business",,"Volunteering at events, Speaking at future meetups, Helping with social media & content",,Yes
2025-02-24T16:05:59.418Z,approved,popin,Investor,Business,,Sponsoring or partnering,Comprehensive AI tools / solutions,Yes
2025-03-02T01:14:15.074Z,approved,plink,Engineer,"Education, Research, Startups, HealthCare, Ethics, Finance",,"Chapter Leadership, Helping with social media & content, Sponsoring or partnering, Writing blogs/articles on AI",,Yes
2025-02-27T20:02:13.208Z,approved,,"Engineer, Student","Startups, Design",,Volunteering at events,,Yes
2025-02-25T23:20:48.149Z,approved,,Founder,"Business, Startups",,,,Yes
2025-03-04T01:43:12.301Z,approved,,Media,"Design, Education, Research, HealthCare",,"Volunteering at events, Speaking at future meetups, Writing blogs/articles on AI, Helping with social media & content",No idea right now.,Yes
2025-02-28T21:11:30.662Z,approved,plink,"Engineer, Researcher","Startups, CyberSecurity, Research, Ethics, Design",,,,Yes
2025-02-25T18:45:21.434Z,approved,,Investor,Startups,,,,Yes
2025-03-04T01:14:16.758Z,approved,,"General, Engineer","HealthCare, Startups, Design",,Writing blogs/articles on AI,"Market landscape of creative AI for artists, content creator and other creatives",Yes
2025-03-04T13:21:53.984Z,approved,,Founder,"Business, Startups, Education","Proptech, platforms, apps","Speaking at future meetups, Helping with social media & content, Writing blogs/articles on AI",Hi I’ve started a Meetup for WorkOptional to focus on AI impact on future of work.  We’ll have eventsa on/offline in Thailand and USA: https://www.meetup.com/workoptional-ai-future-of-work/ we do a lot of education events on AI and future of work and research ,Yes
2025-03-03T20:23:29.931Z,approved,,Founder,Business,,"Chapter Leadership, Writing blogs/articles on AI, Helping with social media & content",Ai stack for automating-reporting ,Yes
2025-02-27T00:52:48.005Z,approved,,Student,"Business, Startups",,"Volunteering at events, Speaking at future meetups, Chapter Leadership, Writing blogs/articles on AI, Helping with social media & content",,Yes
2025-03-03T17:12:28.262Z,approved,,"Founder, Engineer, Researcher, Executive, Investor","Finance, Other(pls specify)",The datacenter and surrounding infrastructure ,"Speaking at future meetups, Writing blogs/articles on AI",Connecting with data center operators and large data procurement customers to enable sustainable datacenter development,Yes
2025-03-04T05:44:45.215Z,approved,,"Engineer, Founder",Finance,,,,Yes
2025-03-02T22:41:06.629Z,approved,,Engineer,HealthCare,,,,Yes
2025-02-23T22:22:45.297Z,approved,,Engineer,"Startups, Education",,,,Yes
2025-02-26T23:10:13.738Z,approved,,Researcher,"Design, HealthCare, Startups, Research",,,,Yes
2025-02-25T14:24:49.476Z,approved,,"Researcher, Student","HealthCare, Research",,"Chapter Leadership, Speaking at future meetups",,Yes
2025-02-23T21:43:57.214Z,approved,,Student,Startups,,Volunteering at events,,Yes
2025-02-25T20:16:20.860Z,approved,vector,"Founder, General","Business, Education, Startups",,,,Yes
2025-03-01T16:55:50.216Z,approved,,Founder,"CyberSecurity, Business, HealthCare, Startups",,"Chapter Leadership, Speaking at future meetups, Helping with social media & content",,Yes
2025-02-26T00:57:14.353Z,approved,,Engineer,Business,,,,Yes
2025-03-03T02:08:23.515Z,approved,,Engineer,"Business, Startups, CyberSecurity","AI, AIOps",Speaking at future meetups,Guidance and resources to refine and execute my AI project ideas.,Yes
2025-02-24T19:39:35.510Z,approved,,Founder,Startups,,,,Yes
2025-02-22T18:14:02.492Z,approved,,"Founder, Researcher, Student","Other(pls specify), Design, Education, HealthCare",,Speaking at future meetups,,Yes
2025-02-24T20:07:04.853Z,approved,,Founder,Startups,Wellness,,"Networking, feedback on ideas, support ",Yes
2025-02-25T18:25:03.967Z,approved,,"Student, Researcher","Business, HealthCare, Startups, Research, Ethics",,"Chapter Leadership, Volunteering at events, Writing blogs/articles on AI, Helping with social media & content",Providing networking opportunities and learning about the AI ecosystem in Canada,Yes
2025-02-24T17:21:35.289Z,approved,,Founder,Startups,,,,Yes
2025-03-02T21:13:38.034Z,approved,,Researcher,Research,,,,Yes
2025-03-03T17:11:00.019Z,approved,,"Engineer, Investor, Operator/Service provider",Business,,"Speaking at future meetups, Sponsoring or partnering",,Yes
2025-02-28T20:04:28.608Z,approved,,Investor,Startups,,,,Yes
2025-03-02T03:58:37.725Z,approved,,Engineer,"Research, Startups",,,Latest AI technology,Yes
2025-02-26T19:47:33.841Z,approved,,Founder,Business,,,,Yes
2025-02-21T21:55:44.691Z,approved,,General,Design,,Helping with social media & content,,
2025-02-21T21:56:06.181Z,approved,,"Student, Founder, Engineer, Researcher, Executive, Operator/Service provider, Media, General","Business, HealthCare, Education, Startups, CyberSecurity, Research, Ethics, Design, Finance",,"Volunteering at events, Chapter Leadership",,
2025-03-02T21:18:35.955Z,approved,,"Engineer, Researcher, Student","Research, Ethics, Other(pls specify)",Deep Learning ,Chapter Leadership,Networking with ppl with experience in relevant AI fields.,Yes
2025-02-23T19:25:56.271Z,approved,,Executive,Finance,,Volunteering at events,Understanding the trends in AI,Yes
2025-02-28T15:24:37.496Z,approved,substack,"Student, Researcher","HealthCare, Startups",,"Chapter Leadership, Volunteering at events, Writing blogs/articles on AI",(1) Clinical experience and insights (2) Knowledge of Digital Health Solution (3) Creative Thinking and Problem-Solving Skills (4) Team Collaboration (5) Passion for Startups in Healthcare spaces,Yes
2025-03-01T14:14:42.573Z,approved,,"Student, Engineer, Researcher","Education, Business, HealthCare, Research",,"Writing blogs/articles on AI, Chapter Leadership",Connecting with like-minded people,Yes
2025-02-27T20:26:01.909Z,approved,TechTO,Researcher,Other(pls specify),"AI for mental health, life coaching, journalling",,Find a technical partner interested in the same field for venture creation.,Yes
2025-02-22T17:53:24.092Z,approved,TechTO,"Engineer, Executive","HealthCare, Business, Education",,,,Yes
2025-02-22T00:34:51.057Z,approved,,"Student, Media, Researcher","Business, HealthCare, Startups, CyberSecurity, Research, Ethics, Finance, Other(pls specify)",,Writing blogs/articles on AI,,
2025-03-03T19:49:03.788Z,approved,,"Researcher, Engineer, Student",Other(pls specify),Better AI Compute,Speaking at future meetups,Meeting like minded individuals!,Yes
2025-02-24T01:33:02.777Z,approved,,Engineer,"Startups, Business",,,,Yes
2025-03-01T16:50:07.661Z,approved,,Founder,Business,,Volunteering at events,Network,Yes
2025-02-25T00:37:50.910Z,approved,,Engineer,"HealthCare, Business, Education",,"Volunteering at events, Writing blogs/articles on AI",,Yes
2025-03-01T20:35:24.053Z,approved,popin,Operator/Service provider,Finance,,,,Yes
2025-03-02T17:11:30.847Z,approved,,"Student, Engineer","HealthCare, CyberSecurity, Research",,"Writing blogs/articles on AI, Speaking at future meetups",,Yes
2025-02-27T19:36:06.552Z,approved,,Engineer,HealthCare,,"Volunteering at events, Speaking at future meetups",,Yes
2025-02-23T02:19:21.374Z,approved,,"Engineer, Researcher","CyberSecurity, Startups, Research",,"Volunteering at events, Writing blogs/articles on AI",,Yes
2025-02-26T07:55:32.236Z,approved,,General,"Design, Business, Finance",,,,Yes
2025-02-27T22:25:49.320Z,approved,,Founder,"Startups, Education, Business",,Volunteering at events,Networking,Yes
2025-03-04T13:26:36.455Z,approved,,General,"Business, Finance",,,,Yes
2025-02-25T09:47:23.969Z,declined,,"General, Engineer, Researcher","Business, Startups, Research, Finance",,,,No
2025-02-24T16:28:25.660Z,declined,substack,"Operator/Service provider, Founder","Business, Startups, Finance",,Volunteering at events,,No
2025-03-02T00:09:35.040Z,declined,,"Engineer, Student",Business,,,,No
2025-02-23T14:25:34.060Z,declined,,General,"Business, Startups, Research",,,,No
2025-03-03T16:19:31.185Z,declined,,"Founder, Engineer","Education, HealthCare, Business, Startups",,"Speaking at future meetups, Sponsoring or partnering",,Yes
2025-03-03T21:17:19.310Z,declined,substack,Executive,"HealthCare, Startups",,,Industry specific applications and resources,Yes
2025-02-27T23:21:36.986Z,declined,PopIn,Executive,"Education, CyberSecurity, Business",,"Chapter Leadership, Speaking at future meetups",,No
2025-02-23T15:49:10.963Z,declined,,"Founder, Engineer, Executive",Startups,,,I like watching other people's demos a lot for inspiration,No
2025-03-03T02:29:51.515Z,declined,,"General, Student","Startups, Design, Finance",,"Writing blogs/articles on AI, Volunteering at events",Product design and ux research,Yes
2025-02-25T16:22:36.296Z,declined,,Engineer,"Design, Research, Education, Business",,,,Yes
2025-02-28T17:15:56.606Z,declined,,"Engineer, Founder","Education, Startups, CyberSecurity, Ethics, Design, Finance",,"Speaking at future meetups, Writing blogs/articles on AI",,No
2025-02-23T21:03:52.681Z,declined,vector,"Student, Researcher",Research,,,,No
2025-02-28T17:40:59.002Z,declined,,"Founder, Engineer, Executive","HealthCare, Startups, Business",,,,No
2025-03-04T14:02:27.747Z,declined,,Operator/Service provider,"Ethics, Education, Business, Design",,,Information related to bleeding edge services.,No
2025-03-04T18:16:33.589Z,pending_approval,,General,"Startups, Business, Education, Design, Research",,"Volunteering at events, Helping with social media & content",,Yes
2025-03-01T19:06:31.805Z,pending_approval,,Founder,"Startups, Finance, Design",,Helping with social media & content,,Yes
2025-03-05T00:59:47.818Z,pending_approval,PopIn,Student,Business,,,,Yes
2025-03-05T01:18:26.585Z,pending_approval,UTGSU,Student,Startups,,"Volunteering at events, Speaking at future meetups, Writing blogs/articles on AI",,Yes
2025-03-04T19:20:53.988Z,pending_approval,,"Engineer, Student, Researcher","Startups, Research, Other(pls specify)",Application of AI in aviation ,Writing blogs/articles on AI,Cool people around!,Yes
2025-03-05T01:44:33.066Z,pending_approval,UTGSU,Researcher,"Education, Research",,Writing blogs/articles on AI,,Yes
2025-03-05T01:12:10.684Z,pending_approval,UTGSU,Student,HealthCare,,,,Yes
2025-03-05T05:13:17.646Z,pending_approval,,General,Design,,,,No
2025-03-04T21:37:06.963Z,pending_approval,popin,Founder,Startups,,,,Yes
2025-03-04T23:41:34.325Z,pending_approval,,Student,"Business, Finance, Other(pls specify)",Business Analytics ,Helping with social media & content,,Yes
2025-03-05T05:21:46.257Z,pending_approval,,Student,"Business, Startups",ML,"Volunteering at events, Chapter Leadership, Speaking at future meetups, Writing blogs/articles on AI, Helping with social media & content, Sponsoring or partnering",,Yes
2025-03-04T17:47:43.669Z,pending_approval,,"Student, Engineer","Research, Finance, Startups",,,,Yes
2025-03-04T18:26:13.774Z,pending_approval,,Founder,"Startups, Business",,"Chapter Leadership, Speaking at future meetups",,Yes
2025-03-05T13:18:40.434Z,pending_approval,,"Engineer, Founder, Executive, Operator/Service provider","Startups, Business, Research",,,,No
2025-03-05T01:33:10.466Z,pending_approval,,General,Design,,"Sponsoring or partnering, Helping with social media & content",,Yes
2025-03-05T05:42:39.466Z,pending_approval,,Investor,Startups,,,,Yes
2025-03-05T03:00:07.048Z,pending_approval,,Engineer,Other(pls specify),LLM,Volunteering at events,,Yes
2025-03-04T19:52:01.085Z,pending_approval,,Student,"Business, HealthCare, Startups, Design, Finance",,,,No
2025-03-05T01:47:33.188Z,pending_approval,,Student,"Business, Startups, Finance",,"Volunteering at events, Helping with social media & content, Writing blogs/articles on AI, Sponsoring or partnering",,Yes
2025-03-04T17:20:56.705Z,pending_approval,,Student,"Education, Business, HealthCare",,Volunteering at events,knowing what is more effective information put into AI and how to use AI for efficiency,Yes
2025-03-05T06:16:04.081Z,pending_approval,UTGSU,Student,"Business, Startups",,"Chapter Leadership, Volunteering at events",,Yes
2025-03-04T17:56:11.832Z,pending_approval,,Founder,"Education, HealthCare, Research, Business",,Sponsoring or partnering,N/a,Yes
2025-03-04T22:38:01.592Z,pending_approval,,Founder,"Business, Startups, Design, Finance",,Speaking at future meetups,Data pipelines ,Yes
2025-03-04T21:09:25.692Z,pending_approval,,Engineer,Research,Reinforcement Learning,Chapter Leadership,,Yes
2025-03-05T01:42:44.584Z,pending_approval,popin,"Founder, Student","Startups, Education, Research, Business",,"Chapter Leadership, Speaking at future meetups, Helping with social media & content",Networking with other people building things and using AI to its fullest ,No
2025-03-05T02:34:04.864Z,pending_approval,,"Student, Researcher","Education, Design, Finance",,"Volunteering at events, Helping with social media & content",In depth interviews with some of the speakers,Yes
2025-03-04T19:29:01.046Z,pending_approval,,"Founder, Engineer","Business, Startups",Social Agents,"Speaking at future meetups, Writing blogs/articles on AI",Exposure to creative minds,Yes
2025-03-04T20:42:34.982Z,pending_approval,,Founder,"Other(pls specify), Startups, Finance",Legal,,Networking events,No
2025-03-04T17:27:12.645Z,pending_approval,,Executive,HealthCare,AI for collecting patient data,Volunteering at events,someexpertize from other people,Yes
2025-03-05T03:35:07.958Z,pending_approval,UTGSU,"Student, Engineer","Finance, Research",,Volunteering at events,Presentation from founders with their story,Yes
2025-03-04T15:55:17.356Z,pending_approval,,"Engineer, Founder","Startups, Business",,,,Yes
2025-03-04T23:16:21.337Z,pending_approval,,Researcher,CyberSecurity,,,,No
2025-03-04T18:46:03.115Z,pending_approval,,"Student, Founder","Startups, Research, Business",,Chapter Leadership,"how to get connections, how to learn build a GenAI company",Yes
2025-03-03T18:16:46.550Z,waitlist,,General,"HealthCare, Design, Education",,,,Yes
2025-02-26T17:23:25.874Z,waitlist,,Founder,Startups,,Writing blogs/articles on AI,,Yes
2025-03-01T20:46:00.383Z,waitlist,,Investor,"Finance, Business",,"Sponsoring or partnering, Chapter Leadership, Speaking at future meetups, Helping with social media & content",Cryptocurrency ,Yes
2025-03-03T00:44:22.138Z,waitlist,,"Founder, Investor",Startups,,"Speaking at future meetups, Sponsoring or partnering",,No
2025-02-26T15:09:57.959Z,waitlist,,Investor,"Business, Finance",,"Chapter Leadership, Speaking at future meetups",Investment ,Yes
2025-02-27T01:38:43.173Z,waitlist,,"Engineer, Founder, Investor, Executive, General","Business, Finance",,,Net,Yes
2025-03-03T15:52:17.601Z,waitlist,,Engineer,"Startups, Finance, Research",,"Speaking at future meetups, Writing blogs/articles on AI",,Yes
